   116/149     8.46G   0.03499   0.03124   0.01245   0.07868        10       640    0.5397    0.8828    0.8437    0.5496   0.02855   0.01793   0.00376
   117/149     8.46G   0.03485   0.03112   0.01215   0.07812        13       640    0.5405    0.8834    0.8446    0.5506   0.02851    0.0179  0.003735
   118/149     8.46G   0.03491   0.03088    0.0124   0.07818        11       640     0.542     0.884    0.8455     0.552   0.02847   0.01788  0.003711
   119/149     8.46G   0.03489   0.03078   0.01242   0.07809        19       640    0.5427    0.8848    0.8464    0.5528   0.02843   0.01785  0.003686
   120/149     8.46G    0.0348   0.03085   0.01172   0.07737        12       640    0.5436    0.8855    0.8473     0.554   0.02838   0.01782  0.003662
   121/149     8.46G   0.03445   0.03035   0.01173   0.07653        27       640    0.5451    0.8857     0.848    0.5549   0.02834    0.0178  0.003636
   122/149     8.46G   0.03455   0.03051   0.01195   0.07702        12       640    0.5465    0.8864    0.8489    0.5564    0.0283   0.01777  0.003611
   123/149     8.46G   0.03461   0.03055    0.0117   0.07686         8       640    0.5469    0.8866    0.8495    0.5573   0.02826   0.01775  0.003587
   124/149     8.46G   0.03447   0.03046   0.01177    0.0767        21       640    0.5483    0.8874    0.8502    0.5582   0.02822   0.01772  0.003562
   125/149     8.46G   0.03444   0.03057   0.01198   0.07698        16       640    0.5492    0.8877    0.8511    0.5598   0.02818   0.01769  0.003539
   126/149     8.46G   0.03408   0.03025   0.01149   0.07582        13       640      0.55    0.8877     0.852    0.5605   0.02814   0.01766  0.003518
   127/149     8.46G    0.0341   0.03037   0.01134   0.07581        19       640    0.5512    0.8879    0.8527    0.5612    0.0281   0.01763  0.003494
   128/149     8.46G   0.03423   0.03038    0.0113    0.0759        18       640    0.5521    0.8886    0.8536    0.5621   0.02806   0.01761  0.003472
   129/149     8.46G   0.03395   0.03027   0.01163   0.07584        13       640     0.553    0.8888    0.8543    0.5633   0.02802   0.01758   0.00345
   130/149     8.46G   0.03418   0.03034   0.01152   0.07604        16       640    0.5542    0.8892     0.855    0.5642   0.02798   0.01755  0.003427
   131/149     8.46G   0.03394   0.03031   0.01143   0.07568        20       640    0.5553    0.8898     0.856     0.565   0.02794   0.01753  0.003407
   132/149     8.46G   0.03357      0.03   0.01103    0.0746        16       640    0.5569      0.89    0.8569    0.5664    0.0279    0.0175  0.003386
   133/149     8.46G   0.03364   0.02977    0.0113   0.07471        23       640     0.558    0.8901    0.8575     0.567   0.02786   0.01747  0.003365
   134/149     8.46G   0.03343   0.03003   0.01095   0.07441        24       640    0.5595    0.8907    0.8587    0.5683   0.02781   0.01744  0.003344
   135/149     8.46G   0.03362   0.02992   0.01116    0.0747        28       640    0.5606    0.8909    0.8596    0.5692   0.02777   0.01741  0.003322
